Headline,Link
BREAKINGWaller Emerges as Favorite for Fed Chair Among Trump TeamRead more,https://www.bloomberg.com/news/articles/2025-08-07/waller-emerges-as-favorite-for-fed-chair-among-trump-team
Wagner Meier/Getty Images,/news/articles/2025-08-07/modi-to-speak-with-lula-plans-xi-meeting-as-ties-with-us-sour?srnd=homepage-asia
"Modi to Speak With Lula, Plans Xi Meeting as Ties With US Sour",/news/articles/2025-08-07/modi-to-speak-with-lula-plans-xi-meeting-as-ties-with-us-sour?srnd=homepage-asia
37 minutes agoIndian Exporters Weigh Options to Deal With US Levy That’s ‘Worse Than Covid’,/news/articles/2025-08-07/indian-exporters-mull-options-after-us-s-worse-than-covid-levy
India Weighs Giving Trump Trade Concessions After 50% Tariff Hit,/news/articles/2025-08-07/india-weighs-trade-options-as-trump-s-50-tariff-strains-ties?srnd=homepage-asia
ExplainerWhat’s at Stake as Trump Tests India’s Ties With Russia,/news/articles/2025-08-07/what-to-know-as-trump-sets-additional-tariffs-for-india-over-its-russia-ties?srnd=homepage-asia
India’s State Refiners Pause Russia Oil Buys as US Adds Pressure,/news/articles/2025-08-07/india-s-state-refiners-pause-russia-oil-buys-as-us-adds-pressure?srnd=homepage-asia
US Versus China,/news/articles/2025-08-06/who-is-winning-the-artificial-intelligence-race-the-us-or-china?srnd=homepage-asia?srnd=homepage-asia
China’s AI Desert Empire,/news/articles/2025-07-31/video-the-secret-rise-of-china-s-ai-desert-empire?srnd=homepage-asia?srnd=homepage-asia
Open-Source Models,/news/articles/2025-08-06/how-deepseek-and-open-source-ai-models-are-disrupting-big-tech?srnd=homepage-asia?srnd=homepage-asia
Trump Urges ‘Conflicted’ Intel CEO Tan to Resign Immediately,/news/articles/2025-08-07/trump-urges-intel-ceo-to-resign-calls-him-conflicted?srnd=homepage-asia
TSMC Shares Rise to Record on Optimism Over US Tariff Exemption,/news/articles/2025-08-07/taiwan-chip-giant-surges-on-exemption-from-tough-new-trump-tariffs-on-chips?srnd=homepage-asia
"Trump Eyes 100% Chips Tariff, Exempting Firms That Invest in US",/news/articles/2025-08-06/trump-plans-100-tariff-on-chips-with-carveout-for-apple-others?srnd=homepage-asia
EU Oil Sanctions,/news/articles/2025-07-21/europe-s-new-sanctions-on-russian-diesel-won-t-hit-until-january?srnd=homepage-asia?srnd=homepage-asia
Corruption Furor,/news/articles/2025-07-31/why-ukraine-s-zelenskiy-went-after-anti-corruption-agencies?srnd=homepage-asia?srnd=homepage-asia
US Weapons Promise,/news/articles/2025-07-14/trump-promises-more-weapons-for-ukraine-paid-for-by-europe?srnd=homepage-asia?srnd=homepage-asia
"Putin, Trump Plan to Meet as US Pushes to Include ZelenskiyTrump has threatened secondary tariffs on Russian oil buyers unless Putin agrees to a truce by Friday.",/news/articles/2025-08-07/russia-says-putin-trump-meeting-to-take-place-in-next-few-days?srnd=homepage-asia
Traders Snap Up Assets Set to Gain From Talks on War in Ukraine,/news/articles/2025-08-07/ukraine-s-bonds-extend-gains-as-kremlin-confirms-summit-plans
China’s Export Machine Powers Ahead But Trade With US Slumps,/news/articles/2025-08-07/china-export-growth-unexpectedly-quickens-despite-trump-tariffs?srnd=homepage-asia
Trump Floats Possible Tariffs on China for Buying Russia Oil,/news/articles/2025-08-07/trump-floats-possible-tariffs-on-china-for-buying-russian-oil
Prestige Estates Projects Ltd.,/news/articles/2025-08-06/billionaire-who-rode-india-s-real-estate-boom-warns-of-risks?srnd=homepage-asia
Billionaire Warns of Property Risks Emerging in India’s Boom,/news/articles/2025-08-06/billionaire-who-rode-india-s-real-estate-boom-warns-of-risks?srnd=homepage-asia
"A High-Rise Push Is Helping Mumbai Squeeze in Pools, Gyms and Greenery",/news/articles/2025-08-06/mumbai-apartments-pack-in-pools-gyms-and-greenery?srnd=homepage-asia
9:19,/news/articles/2025-08-07/toyota-cuts-annual-guidance-braces-for-9-5-billion-tariff-hit?srnd=homepage-asia
Toyota Braces for $9.5 Billion Hit From US Tariff Turmoil,/news/articles/2025-08-07/toyota-cuts-annual-guidance-braces-for-9-5-billion-tariff-hit?srnd=homepage-asia
"Elon Musk Takes on Sam Altman, This Time Over the Chessboard",/news/articles/2025-08-07/musk-s-grok-4-takes-on-altman-s-openai-for-chess-bragging-rights?srnd=homepage-asia
Lilly Falls as Weight-Loss Pill Data Overshadows Sales Beat,/news/articles/2025-08-07/eli-lilly-falls-as-weight-loss-pill-data-overshadows-sales-beat?srnd=homepage-asia
Hanneke Rozemuller for Bloomberg,/news/articles/2025-08-05/republicans-and-maha-moms-at-risk-of-fracturing-over-pesticides?srnd=homepage-asia
"The GOP Is Choosing Pesticides Over the MAHA MomsRFK Jr.’s MAHA coalition is already made up of unlikely GOP allies, from anti-Big Food activists to regenerative farmers. The issue of pesticides threatens to come between the movement and its Republican backers.ByDeena Shanker and Rachel Cohrs Zhang",/news/articles/2025-08-05/republicans-and-maha-moms-at-risk-of-fracturing-over-pesticides?srnd=homepage-asia
Digital Nomads Are Transforming Medellín’s Housing StockNew developments targeted at longer-term visitors aim to relieve gentrification—in style.,/news/articles/2025-08-07/medellin-developers-target-digital-nomads-with-custom-lodging?srnd=homepage-asia
"What Happens to AI Startups When Their Founders Jump Ship for Big TechSo-called reverse acquihires have left once-promising startups stranded, with remaining employees left to figure out what to do next.",/news/articles/2025-08-04/what-happens-to-ai-startups-after-big-tech-lures-away-their-founders?srnd=homepage-asia
Luke Sharrett/Bloomberg,/news/articles/2025-07-26/meme-stock-trading-in-2025-retail-traders-buy-open-dnut-gpro?srnd=homepage-asia
‘I Can Get Real Gains’: Meme Traders Risk It All to Beat S&P 500Retail investors once again bought up shares of shorted companies in an episode that harkened back the 2021 GameStop craze.,/news/articles/2025-07-26/meme-stock-trading-in-2025-retail-traders-buy-open-dnut-gpro?srnd=homepage-asia
Goldman Trading Desk’s Clients Start Shorting Speculative Tech,/news/articles/2025-07-25/goldman-trading-desk-s-clients-start-shorting-speculative-tech?srnd=homepage-asia
Firefly Aerospace to Debut After Tumultuous Path to IPO,/news/articles/2025-08-07/firefly-aerospace-to-go-public-after-navigating-tumultuous-path?srnd=homepage-asia
