Date,Product,Region,Sales_Rep,Quantity,Unit_Price,Total_Sales
2023-04-13,Product D,Central,Carol Davis,8,303.3426572565479,2426.7412580523833
2023-04-13,Product B,East,Carol Davis,11,434.4263114297182,4778.6894257269005
2023-04-10,Product C,Central,Bob Smith,24,417.8968939922066,10029.52545581296
2023-10-21,Product B,West,Eva Brown,33,159.0786990501735,5249.597068655726
2023-01-22,Product E,West,Alice Johnson,49,267.1395835266107,13089.839592803924
2023-06-19,Product D,West,Carol Davis,44,261.9748748226697,11526.894492197465
2023-11-16,Product A,East,Eva Brown,7,93.55682060677285,654.89774424741
2023-06-16,Product B,West,Alice Johnson,14,406.11470057706595,5685.6058080789235
2023-09-22,Product B,Central,Bob Smith,20,128.10247835274572,2562.0495670549144
2023-09-21,Product C,North,David Wilson,40,380.1270910556497,15205.083642225989
2023-02-23,Product B,West,Eva Brown,18,389.8150834469461,7016.67150204503
2023-06-11,Product B,West,David Wilson,40,423.82158585229416,16952.863434091767
2023-08-25,Product B,Central,Bob Smith,25,147.65790974681659,3691.4477436704146
2023-02-10,Product E,Central,Alice Johnson,25,493.57459893425346,12339.364973356336
2023-12-10,Product A,West,Carol Davis,17,358.5575568468385,6095.478466396255
2023-10-16,Product C,Central,Bob Smith,39,329.0277424959528,12832.08195734216
2023-01-28,Product A,West,Bob Smith,33,41.143591640151584,1357.7385241250022
2023-03-03,Product E,East,David Wilson,40,144.61367856513144,5784.547142605257
2023-02-04,Product A,East,Eva Brown,47,359.48994573926757,16896.027449745576
2023-09-14,Product E,South,Carol Davis,9,358.22481594603585,3224.0233435143227
2023-12-12,Product B,West,Eva Brown,32,321.8411015192524,10298.915248616076
2023-02-21,Product E,West,Eva Brown,23,306.1645158461304,7041.783864461
2023-05-23,Product C,Central,David Wilson,13,47.720155816108566,620.3620256094114
2023-07-06,Product C,West,Bob Smith,42,405.9789859865643,17051.117411435698
2023-05-14,Product D,West,David Wilson,44,214.08987445647944,9419.954476085095
2023-11-27,Product B,West,Alice Johnson,39,454.3459363574195,17719.49151793936
2023-10-10,Product A,West,Eva Brown,41,159.34281649743423,6533.055476394803
2023-07-17,Product C,North,Eva Brown,33,68.73402999350458,2268.222989785651
2023-06-21,Product C,North,David Wilson,49,41.797201083400964,2048.062853086647
2023-02-21,Product D,South,Carol Davis,49,82.56259567716594,4045.5671881811313
2023-03-22,Product C,North,Bob Smith,2,211.40813652593332,422.81627305186663
2023-12-09,Product E,North,Alice Johnson,19,343.5456712618357,6527.367753974879
2023-02-22,Product D,South,David Wilson,11,191.13068347008817,2102.4375181709697
2023-09-12,Product E,West,Bob Smith,6,205.423976797831,1232.543860786986
2023-08-28,Product A,North,David Wilson,6,350.9482753275321,2105.6896519651928
2023-09-16,Product D,West,Carol Davis,36,18.128036174649516,652.6093022873825
2023-05-27,Product D,West,Alice Johnson,33,204.81029033288593,6758.739580985236
2023-02-08,Product B,North,Carol Davis,28,370.25589842797837,10367.165155983394
2023-05-31,Product B,East,David Wilson,16,410.43887809859575,6567.022049577532
2023-03-01,Product A,South,Alice Johnson,48,483.0554821315089,23186.663142312427
2023-02-06,Product C,North,Alice Johnson,35,353.17533668665794,12361.136784033028
2023-07-27,Product C,West,Alice Johnson,24,426.9549398960812,10246.91855750595
2023-04-23,Product D,West,Carol Davis,48,59.72105600435573,2866.6106882090753
2023-04-09,Product A,Central,Bob Smith,46,278.8795567896272,12828.459612322851
2023-11-06,Product C,Central,Alice Johnson,36,358.96781846029256,12922.841464570532
2023-10-16,Product E,West,Carol Davis,17,160.94978800767072,2736.146396130402
2023-06-25,Product D,East,Carol Davis,22,139.94916016404548,3078.8815236090004
2023-08-26,Product E,East,Carol Davis,27,399.45753873540775,10785.353545856009
2023-10-13,Product A,West,Alice Johnson,5,122.79078143836209,613.9539071918105
2023-10-31,Product C,West,Carol Davis,49,31.365848159672538,1536.9265598239544
2023-06-21,Product D,Central,Eva Brown,6,191.37776312516775,1148.2665787510064
2023-08-21,Product E,Central,Alice Johnson,46,483.6608613313981,22248.399621244313
2023-04-09,Product D,North,David Wilson,21,103.54640526366956,2174.4745105370607
2023-06-10,Product C,South,Alice Johnson,42,468.7158393387827,19686.065252228873
2023-02-27,Product C,South,Bob Smith,27,154.69238832527998,4176.69448478256
2023-09-30,Product A,North,Carol Davis,48,280.8817886848748,13482.32585687399
